suburb,density,property,price,rooms,bedroom,toilets,ensuite,condition,constituency,council,carport,pool,furnished,cottage,power,pbackup,water,wbackup,gated,garden
BRAESIDE,MEDIUM,CLUSTER,450,3,1,1,1,4,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
BRAESIDE,MEDIUM,CLUSTER,450,3,0,1,0,4,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
HATFIELD,MEDIUM,COTTAGE,500,5,1,1,0,4,HATFIELD,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
NETTLETON,MEDIUM,COTTAGE,210,3,0,1,0,3,SUNNINGDALE,HARARE MUNICIPALITY,1,0,1,0,1,0,1,1,1,0
HATFIELD,MEDIUM,COTTAGE,350,3,0,1,0,4,HATFIELD,HARARE MUNICIPALITY,1,0,0,0,1,0,1,1,0,0
CRANBORNE,MEDIUM,COTTAGE,300,3,1,1,0,4,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
HATFIELD,MEDIUM,COTTAGE,380,3,1,1,0,4,HATFIELD,HARARE MUNICIPALITY,1,0,1,0,1,0,1,1,0,0
HATFIELD,MEDIUM,CLUSTER,160,2,0,1,0,3,HATFIELD,HARARE MUNICIPALITY,2,0,1,0,1,0,1,1,0,0
NETTLETON,MEDIUM,COTTAGE,150,2,0,1,0,3,SUNNINGDALE,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,0
GOODHOPE,MEDIUM,COTTAGE,170,2,0,1,0,3,HARARE WEST,HARARE MUNICIPALITY,1,0,0,0,1,0,1,1,0,0
BRAESIDE,MEDIUM,COTTAGE,160,2,0,1,0,3,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
ARCADIA,MEDIUM,CLUSTER,130,2,0,0,0,3,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
ARCADIA,MEDIUM,COTTAGE,160,2,0,1,0,3,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
NETTLETON,MEDIUM,CLUSTER,160,2,0,1,0,3,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,1,0
BRAESIDE,MEDIUM,CLUSTER,150,2,0,1,0,3,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
HATFIELD,MEDIUM,COTTAGE,180,2,0,1,0,3,HATFIELD,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
HATFIELD,MEDIUM,CLUSTER,80,1,0,1,0,3,HATFIELD,HARARE MUNICIPALITY,1,0,0,0,1,0,1,1,0,0
NETTLETON,MEDIUM,CLUSTER,85,1,0,1,0,3,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
CHADCOMBE,MEDIUM,CLUSTER,80,1,0,1,0,3,HATFIELD,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
BRAESIDE,MEDIUM,CLUSTER,70,1,0,1,0,3,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
BRAESIDE,MEDIUM,CLUSTER,150,1,0,1,1,4,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
CHADCOMBE,MEDIUM,CLUSTER,70,1,0,1,0,3,HATFIELD,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
CHADCOMBE,MEDIUM,CLUSTER,100,1,0,1,1,4,HATFIELD,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
TYNWALD,MEDIUM,HOUSE,700,7,4,3,2,4,HARARE WEST,HARARE MUNICIPALITY,2,0,1,0,1,0,1,0,0,1
CHADCOMBE,MEDIUM,HOUSE,700,8,4,4,3,3,HATFIELD,HARARE MUNICIPALITY,2,0,1,0,1,0,1,1,1,1
GOODHOPE,MEDIUM,HOUSE,750,7,2,2,1,4,HARARE WEST,HARARE MUNICIPALITY,2,0,0,0,1,0,1,0,0,1
CHADCOMBE,MEDIUM,HOUSE,600,7,3,1,0,3,HATFIELD,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
GOODHOPE,MEDIUM,HOUSE,650,6,3,2,1,4,HARARE WEST,HARARE MUNICIPALITY,1,0,1,3,0,1,1,0,0,1
CHADCOMBE,MEDIUM,HOUSE,650,6,3,2,1,4,HATFIELD,HARARE MUNICIPALITY,2,0,0,0,1,1,1,1,0,1
TYNWALD,MEDIUM,HOUSE,700,6,4,2,1,4,HARARE WEST,HARARE MUNICIPALITY,2,0,1,2,1,1,1,1,0,1
BRAESIDE,MEDIUM,HOUSE,650,6,3,2,1,4,SUNNINGDALE,HARARE MUNICIPALITY,1,0,1,0,1,0,1,1,0,1
HATFIELD,MEDIUM,HOUSE,650,6,2,2,1,4,HATFIELD,HARARE MUNICIPALITY,1,0,1,0,1,0,1,0,0,1
TYNWALD,MEDIUM,HOUSE,550,6,4,2,1,4,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,1,1
ASPINDALE,MEDIUM,HOUSE,550,6,4,2,1,4,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
GOODHOPE,MEDIUM,HOUSE,650,6,3,2,1,4,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
GOODHOPE,MEDIUM,HOUSE,500,6,3,2,1,3,HARARE WEST,HARARE MUNICIPALITY,1,0,1,0,1,0,1,1,0,0
TYNWALD,MEDIUM,COTTAGE,520,5,3,2,1,4,HARARE WEST,HARARE MUNICIPALITY,1,0,1,0,1,0,1,1,0,1
BRAESIDE,MEDIUM,HOUSE,550,5,3,2,1,4,SUNNINGDALE,HARARE MUNICIPALITY,1,0,1,0,1,1,1,1,0,1
ASPINDALE,MEDIUM,HOUSE,600,5,3,2,1,4,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,0,1
ASPINDALE,MEDIUM,COTTAGE,450,5,3,1,0,3,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
ASPINDALE,MEDIUM,CLUSTER,250,4,1,1,1,3,HARARE CENTRAL,HARARE MUNICIPALITY,1,0,0,0,1,0,1,1,0,1
BRAESIDE,MEDIUM,COTTAGE,300,4,1,1,0,3,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
CRANBORNE,MEDIUM,HOUSE,650,5,3,1,0,4,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
BRAESIDE,MEDIUM,HOUSE,550,5,2,1,0,4,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
CRANBORNE,MEDIUM,HOUSE,600,5,3,2,1,4,SUNNINGDALE,HARARE MUNICIPALITY,0,0,1,0,1,1,1,1,0,1
TYNWALD,MEDIUM,HOUSE,500,4,3,2,1,4,HARARE WEST,HARARE MUNICIPALITY,1,0,1,2,1,0,1,1,0,1
BRAESIDE,MEDIUM,COTTAGE,320,4,1,1,1,3,SUNNINGDALE,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,1,0
TYNWALD,MEDIUM,COTTAGE,350,4,1,1,0,3,HARARE WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
ASPINDALE,MEDIUM,FLAT,350,3,1,1,1,4,HARARE CENTRAL,HARARE MUNICIPALITY,1,0,1,0,1,0,1,1,1,1
BRAESIDE,MEDIUM,COTTAGE,500,4,1,2,1,4,SUNNINGDALE,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
GOODHOPE,MEDIUM,COTTAGE,480,5,0,1,1,3,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
WESTLEA,MEDIUM,COTTAGE,420,4,1,1,0,3,WARREN PARK,HARARE MUNICIPALITY,0,0,0,0,1,0,1,0,0,1
WESTLEA,MEDIUM,CLUSTER,450,3,1,1,1,4,WARREN PARK,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
GOODHOPE,MEDIUM,CLUSTER,450,3,0,1,0,4,HARARE WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
WESTLEA,MEDIUM,COTTAGE,500,4,2,1,0,4,WARREN PARK,HARARE MUNICIPALITY,1,0,0,0,1,0,1,0,0,1
CHADCOMBE,MEDIUM,COTTAGE,210,3,0,1,0,3,HATFIELD,HARARE MUNICIPALITY,1,0,1,0,1,0,1,1,1,0
CHADCOMBE,MEDIUM,COTTAGE,350,3,0,1,0,4,HATFIELD,HARARE MUNICIPALITY,1,0,0,0,1,0,1,1,0,0
PARKTOWN,MEDIUM,COTTAGE,300,3,1,1,0,4,HATFIELD,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
GOODHOPE,MEDIUM,COTTAGE,350,3,1,1,0,3,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,0,1
PARKTOWN,MEDIUM,CLUSTER,160,2,0,1,0,3,HATFIELD,HARARE MUNICIPALITY,2,0,1,0,1,0,1,1,0,1
PARKTOWN,MEDIUM,COTTAGE,150,2,0,1,0,3,HATFIELD,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,0
CHIKURUBI,MEDIUM,COTTAGE,170,2,0,1,0,3,HARARE EAST,HARARE MUNICIPALITY,1,0,0,0,1,0,1,1,0,0
GOODHOPE,MEDIUM,COTTAGE,160,2,0,1,0,3,HARARE WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
CHIKURUBI,MEDIUM,CLUSTER,130,2,0,0,0,3,HARARE EAST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
HATFIELD,MEDIUM,COTTAGE,160,2,0,1,0,3,HATFIELD,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
CHADCOMBE,MEDIUM,CLUSTER,160,2,0,1,0,3,HATFIELD,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,1,0
WESTLEA,MEDIUM,CLUSTER,150,2,0,1,0,3,WARREN PARK,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
WESTLEA,MEDIUM,COTTAGE,180,2,0,1,0,3,WARREN PARK,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
PARKTOWN,MEDIUM,CLUSTER,80,1,0,1,0,3,HATFIELD,HARARE MUNICIPALITY,1,0,0,0,1,0,1,1,0,1
PARKTOWN,MEDIUM,CLUSTER,85,1,0,1,0,3,HATFIELD,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
GOODHOPE,MEDIUM,CLUSTER,80,1,0,1,0,3,HARARE WEST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
CHIKURUBI,MEDIUM,CLUSTER,70,1,0,1,0,3,HARARE EAST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
PARKTOWN,MEDIUM,CLUSTER,150,1,0,1,1,4,HATFIELD,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
CHIKURUBI,MEDIUM,CLUSTER,70,1,0,1,0,3,HARARE EAST,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,1
PARKTOWN,MEDIUM,CLUSTER,100,1,0,1,1,4,HATFIELD,HARARE MUNICIPALITY,0,0,0,0,1,0,1,1,0,0
WESTLEA,MEDIUM,HOUSE,550,6,1,3,1,4,WARREN PARK,HARARE MUNICIPALITY,2,0,1,0,1,0,1,0,0,1
BORROWDALE,LOW,HOUSE,3500,8,5,3,2,5,HARARE EAST,HARARE MUNICIPALITY,3,0,1,2,1,1,1,1,1,1
BORROWDALE BROOKE,LOW,HOUSE,3500,8,6,5,4,5,HARARE EAST,HARARE MUNICIPALITY,2,1,1,3,1,1,1,1,1,1
MOUNT PLEASANT,LOW,HOUSE,3500,8,5,3,1,5,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,4,1,1,1,1,1,1
BORROWDALE WEST,LOW,FLAT,3500,8,5,4,2,5,HARARE EAST,HARARE MUNICIPALITY,2,1,1,3,1,1,1,1,1,1
BORROWDALE,LOW,FLAT,3500,9,5,4,2,5,HARARE EAST,HARARE MUNICIPALITY,3,1,1,3,1,1,1,1,0,1
GREYSTONE PARK,LOW,FLAT,3500,10,7,4,3,5,HARARE EAST,HARARE MUNICIPALITY,2,1,1,0,1,1,1,1,0,1
BORROWDALE,LOW,FLAT,3500,7,4,3,2,5,HARARE EAST,HARARE MUNICIPALITY,1,1,1,2,1,1,1,1,1,1
AVONDALE,LOW,HOUSE,3000,12,5,5,1,3,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,3,1,1,1,1,0,1
HIGHLANDS,LOW,HOUSE,3000,7,4,3,2,5,MOUNT PLEASANT,HARARE MUNICIPALITY,1,1,1,0,1,1,1,1,0,1
SHAWASHA HILLS,LOW,HOUSE,3400,7,4,4,1,5,HARARE EAST,HARARE MUNICIPALITY,2,1,1,1,1,1,1,1,1,1
BORROWDALE,LOW,HOUSE,2700,6,4,3,2,5,HARARE EAST,HARARE MUNICIPALITY,2,1,1,0,1,0,1,1,0,1
HIGHLANDS,LOW,HOUSE,2200,5,3,2,1,5,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,1,2,1,1,1,1,0,1
BORROWDALE,LOW,FLAT,3000,7,4,3,1,5,HARARE EAST,HARARE MUNICIPALITY,0,1,1,0,0,0,1,1,1,1
BORROWDALE BROOKE,LOW,HOUSE,3000,7,4,2,1,5,HARARE EAST,HARARE MUNICIPALITY,0,1,1,1,1,1,1,1,1,1
CHISIPITE,LOW,FLAT,3000,7,5,3,1,5,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,2,1,1,1,1,0,1
BORROWDALE BROOKE,LOW,HOUSE,3000,7,3,2,1,5,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,1,1
HIGHLANDS,LOW,HOUSE,2000,8,4,4,3,5,MOUNT PLEASANT,HARARE MUNICIPALITY,1,1,1,0,1,1,1,1,1,1
MOUNT PLEASANT,LOW,HOUSE,2800,7,4,1,1,5,MOUNT PLEASANT,HARARE MUNICIPALITY,1,1,1,0,1,0,1,0,0,1
BORROWDALE WEST,LOW,FLAT,2000,5,3,1,0,5,HARARE EAST,HARARE MUNICIPALITY,1,0,1,2,1,1,1,1,0,1
VAINONA,LOW,HOUSE,2000,5,3,1,0,4,HARARE EAST,HARARE MUNICIPALITY,2,0,1,0,1,0,1,1,1,1
GREYSTONE PARK,LOW,FLAT,3000,10,6,4,2,4,HARARE EAST,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,0,1
BLOOMINGDALE,LOW,FLAT,2800,10,5,3,2,4,HARARE WEST,HARARE MUNICIPALITY,2,1,1,0,1,1,1,0,1,1
AVONDALE,LOW,FLAT,3000,8,5,4,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,3,1,1,1,1,0,1
BORROWDALE BROOKE,LOW,HOUSE,3000,8,4,3,2,4,HARARE EAST,HARARE MUNICIPALITY,2,0,1,3,1,1,1,0,1,1
BORROWDALE BROOKE,LOW,HOUSE,3000,8,3,3,1,4,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,1,1
BLUFF HILL,LOW,FLAT,2700,12,5,3,2,4,HARARE WEST,HARARE MUNICIPALITY,3,1,1,3,1,1,1,1,0,1
MOUNT PLEASANT,LOW,HOUSE,2600,7,5,4,3,4,MOUNT PLEASANT,HARARE MUNICIPALITY,0,1,1,0,1,1,1,1,0,1
GREYSTONE PARK,LOW,FLAT,2600,10,4,2,1,4,HARARE EAST,HARARE MUNICIPALITY,2,1,1,0,1,1,1,1,0,1
MOUNT PLEASANT,LOW,HOUSE,2200,9,5,4,3,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,0,1,3,1,1,1,1,0,0
GROOMBRIDGE,LOW,HOUSE,1800,7,5,4,3,4,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,1,2,1,1,1,1,0,1
ARLINGTON,LOW,HOUSE,1700,7,4,2,1,4,HUNYANI,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,0,1
CHISIPITE,LOW,FLAT,2200,8,4,3,2,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,0,1
MOUNT PLEASANT,LOW,HOUSE,2100,7,4,3,2,4,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,1,1,1,1,1,1,0,1
CHISIPITE,LOW,HOUSE,1800,7,3,2,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,3,1,1,1,0,0,1
HIGHLANDS,LOW,HOUSE,2500,7,3,2,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,3,1,1,3,1,1,1,1,0,1
BORROWDALE,LOW,HOUSE,2100,7,2,2,1,4,HARARE EAST,HARARE MUNICIPALITY,0,1,1,0,1,1,1,0,0,1
CHISIPITE,LOW,HOUSE,3000,9,5,3,2,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,2,1,0,1,1,0,1
POMONA,LOW,HOUSE,3000,9,5,4,3,4,HARARE EAST,HARARE MUNICIPALITY,3,0,1,2,1,1,1,0,0,1
BORROWDALE BROOKE,LOW,FLAT,3000,9,4,5,4,4,HARARE EAST,HARARE MUNICIPALITY,1,1,1,0,1,1,1,1,1,1
BORROWDALE BROOKE,LOW,HOUSE,3500,7,4,3,2,4,HARARE EAST,HARARE MUNICIPALITY,1,0,1,1,1,0,1,1,1,1
HOGERTY HILL,LOW,HOUSE,1600,5,2,2,1,4,HARARE EAST,HARARE MUNICIPALITY,2,0,1,2,1,0,1,1,0,1
MOUNT PLEASANT,LOW,HOUSE,2500,9,4,2,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,1,1,0,1,1,0,1
VAINONA,LOW,HOUSE,2500,10,3,2,1,4,HARARE EAST,HARARE MUNICIPALITY,1,1,1,0,1,0,1,1,0,1
AVENUES,LOW,FLAT,2200,7,3,3,2,4,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,1,2,1,0,1,1,0,1
HOGERTY HILL,LOW,HOUSE,2400,9,3,2,1,4,HARARE EAST,HARARE MUNICIPALITY,2,0,1,3,1,0,1,1,0,1
GLEN LORNE,LOW,HOUSE,2400,9,5,3,2,4,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
AVENUES,LOW,FLAT,2300,8,4,2,1,4,HARARE CENTRAL,HARARE MUNICIPALITY,2,1,1,2,1,1,1,1,0,0
MANDARA,LOW,HOUSE,2300,9,5,4,3,4,HARARE EAST,HARARE MUNICIPALITY,2,1,1,3,1,1,1,1,1,1
COLNE VALLEY,LOW,HOUSE,1600,6,4,2,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,3,1,1,1,1,0,1
MARANATHA,LOW,HOUSE,2300,10,5,3,2,4,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
VAINONA,LOW,HOUSE,2250,9,4,2,1,4,HARARE EAST,HARARE MUNICIPALITY,2,0,1,3,1,0,1,1,0,1
GREYSTONE PARK,LOW,HOUSE,2200,8,4,2,1,4,HARARE EAST,HARARE MUNICIPALITY,2,1,1,3,1,1,1,1,0,1
LENANA PARK,LOW,HOUSE,2200,8,4,2,1,4,HARARE WEST,HARARE MUNICIPALITY,1,1,1,1,1,1,1,0,0,1
MALBEREIGN,LOW,HOUSE,2200,9,3,2,1,4,HARARE WEST,HARARE MUNICIPALITY,2,1,1,3,1,1,1,0,0,1
GUNHILL,LOW,HOUSE,1700,8,4,2,2,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,0,1
SHAWASHA HILLS,LOW,HOUSE,2100,8,5,3,2,4,HARARE EAST,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,1,1
AVONDALE,LOW,HOUSE,2100,8,5,2,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,1,0,1,0,1,0,1,1,0,1
HELENSVALE,LOW,HOUSE,2000,7,4,2,1,4,HARARE EAST,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,0,1
HIGHLANDS,LOW,HOUSE,2000,7,4,2,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,1,1,1,1,1,0,1
ASHDON PARK,LOW,HOUSE,2000,8,3,2,1,4,HARARE WEST,HARARE MUNICIPALITY,2,1,1,2,1,1,1,1,0,1
BORROWDALE,LOW,HOUSE,2000,8,4,3,2,4,HARARE EAST,HARARE MUNICIPALITY,0,1,0,1,1,0,1,1,0,1
MADOKERO,LOW,HOUSE,2000,8,3,2,1,4,HARARE WEST,HARARE MUNICIPALITY,1,1,1,1,1,1,1,0,0,1
EMERALD HILL,LOW,FLAT,2000,9,4,3,2,4,HARARE WEST,HARARE MUNICIPALITY,2,1,1,0,1,1,1,1,0,1
VAINONA,LOW,FLAT,2500,8,3,2,1,4,HARARE EAST,HARARE MUNICIPALITY,0,0,1,2,1,0,1,1,0,1
NEWLANDS,LOW,HOUSE,2800,9,4,2,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,2,1,1,1,0,1,1
GREYSTONE PARK,LOW,HOUSE,2000,8,4,2,1,4,HARARE EAST,HARARE MUNICIPALITY,3,1,1,2,1,1,1,1,0,1
BALLANTYNE PARK,LOW,HOUSE,1900,7,4,2,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,2,1,0,1,0,1,1
BELGRAVIA,LOW,HOUSE,1900,8,4,1,1,4,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
CHISIPITE,LOW,HOUSE,1800,6,3,2,1,5,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,3,1,1,1,1,0,1
BORROWDALE,LOW,HOUSE,1800,7,4,3,2,4,HARARE EAST,HARARE MUNICIPALITY,2,1,1,0,1,1,1,1,0,1
BORROWDALE,LOW,HOUSE,1800,7,4,4,2,4,HARARE EAST,HARARE MUNICIPALITY,2,1,1,0,1,0,1,1,0,1
HELENSVALE,LOW,HOUSE,1800,7,4,3,2,4,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,1,1,1,0,1
BALLANTYNE PARK,LOW,HOUSE,1800,7,3,2,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,0,1,0,1,1,1,1,1,0
GREYSTONE PARK,LOW,FLAT,1800,8,5,3,1,4,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,0,0,1,0,1
ALEXANDRA PARK,LOW,HOUSE,1800,8,4,3,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,2,1,0,1,1,0,1
HIGHLANDS,LOW,HOUSE,1800,8,4,3,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,1,1,0,1,1,0,1
CHISIPITE,LOW,HOUSE,2500,13,7,5,2,4,MOUNT PLEASANT,HARARE MUNICIPALITY,4,1,1,2,1,0,1,1,0,1
MARANATHA,LOW,HOUSE,1800,8,4,3,2,4,HARARE WEST,HARARE MUNICIPALITY,1,0,1,0,1,0,1,1,0,1
BORROWDALE,LOW,HOUSE,1700,6,4,2,1,4,HARARE EAST,HARARE MUNICIPALITY,0,0,1,3,1,0,1,0,1,1
GREENDALE,LOW,HOUSE,1700,6,3,2,1,4,SUNNINGDALE,HARARE MUNICIPALITY,1,1,1,1,1,1,1,1,0,1
HIGHLANDS,LOW,HOUSE,1700,7,4,3,2,4,MOUNT PLEASANT,HARARE MUNICIPALITY,1,1,1,0,1,1,1,1,0,1
MSASA PARK,LOW,HOUSE,1700,7,3,2,1,4,HATFIELD,HARARE MUNICIPALITY,1,0,1,3,1,0,1,0,1,1
MOUNT PLEASANT,LOW,HOUSE,950,5,3,2,1,3,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,0,0,1,1,1,1,0,1
BELVEDERE,LOW,HOUSE,1700,7,3,3,2,4,HARARE CENTRAL,HARARE MUNICIPALITY,2,1,1,2,1,0,1,1,0,1
SHAWASHA HILLS,LOW,HOUSE,1600,7,3,2,1,4,HARARE EAST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,1,1
HOGERTY HILL,LOW,HOUSE,1500,5,3,2,1,5,HARARE EAST,HARARE MUNICIPALITY,2,1,1,2,1,0,1,0,0,1
AVONDALE,LOW,HOUSE,1500,5,2,1,0,5,MOUNT PLEASANT,HARARE MUNICIPALITY,0,0,0,0,1,1,1,1,0,0
GREENDALE,LOW,FLAT,1500,6,3,2,1,4,SUNNINGDALE,HARARE MUNICIPALITY,1,1,1,2,1,0,1,0,0,1
ASHBRITTLE,LOW,HOUSE,1500,6,3,4,3,4,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,1,1,1,0,1
MOUNT PLEASANT,LOW,HOUSE,1500,6,4,2,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,0,1,1,1,1,0,1
MADOKERO,LOW,HOUSE,1500,6,3,2,1,4,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
MARLBOROUGH,LOW,HOUSE,1500,7,5,3,1,4,HARARE WEST,HARARE MUNICIPALITY,0,0,1,2,1,1,1,1,0,1
HILLSIDE,LOW,HOUSE,1500,7,5,2,1,4,SUNNINGDALE,HARARE MUNICIPALITY,2,1,1,0,1,1,1,1,0,1
ASHBRITTLE,LOW,HOUSE,1500,8,4,2,1,3,HARARE WEST,HARARE MUNICIPALITY,0,0,1,0,1,0,1,1,0,1
MANDARA,LOW,HOUSE,1500,8,4,3,1,3,HARARE EAST,HARARE MUNICIPALITY,2,0,1,1,1,1,1,1,0,1
MOUNT PLEASANT,LOW,HOUSE,1500,7,2,2,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,0,1,0,1,1,0,1
BELGRAVIA,LOW,HOUSE,1450,6,3,2,1,4,HARARE CENTRAL,HARARE MUNICIPALITY,0,0,1,0,1,1,1,1,0,1
AVENUES,LOW,HOUSE,1400,5,2,1,0,4,HARARE CENTRAL,HARARE MUNICIPALITY,2,0,1,2,1,0,1,1,0,1
SHAWASHA HILLS,LOW,HOUSE,1400,7,4,4,3,4,HARARE EAST,HARARE MUNICIPALITY,2,0,1,1,1,0,1,1,1,1
GREENDALE,LOW,HOUSE,1350,6,3,2,1,4,SUNNINGDALE,HARARE MUNICIPALITY,0,0,1,2,1,1,1,1,0,1
GREENDALE,LOW,HOUSE,1300,5,4,2,1,4,SUNNINGDALE,HARARE MUNICIPALITY,0,0,1,0,1,0,1,0,0,1
HILLSIDE,LOW,HOUSE,1300,5,3,1,1,4,SUNNINGDALE,HARARE MUNICIPALITY,3,1,1,3,1,1,1,1,0,1
BORROWDALE,LOW,FLAT,1300,6,3,4,3,4,HARARE EAST,HARARE MUNICIPALITY,2,0,0,0,1,1,1,1,0,0
GREENDALE,LOW,FLAT,1300,6,3,2,1,4,SUNNINGDALE,HARARE MUNICIPALITY,0,0,1,1,1,1,1,1,0,0
EMERALD HILL,LOW,HOUSE,1300,6,3,2,1,4,HARARE WEST,HARARE MUNICIPALITY,0,1,0,2,1,0,1,1,0,1
WESTGATE,LOW,HOUSE,1300,7,4,2,1,3,HARARE WEST,HARARE MUNICIPALITY,2,1,1,0,1,1,1,1,0,1
GLEN LORNE,LOW,COTTAGE,550,3,1,1,0,3,HARARE EAST,HARARE MUNICIPALITY,1,1,1,0,1,0,1,1,0,1
MABELREIGN,LOW,HOUSE,1300,6,3,2,1,4,MOUNT PLEASANT,HARARE MUNICIPALITY,2,1,1,0,1,0,1,1,0,1
